timestamp,phase,k_neighbors,resolution,algorithm,n_clusters,avg_cluster_size,nmi,purity,ari,modularity,composite_score,elapsed_sec
2026-04-23 09:14:20,coarse,10,10.0,Leiden,203,54.088670,0.657888,0.282696,0.164606,0.696932,0.438770,1.999101
2026-04-23 09:14:20,coarse,10,10.0,Louvain,195,56.307692,0.651602,0.271949,0.157368,0.690563,0.431297,2.010810
2026-04-23 09:14:22,coarse,10,20.0,Leiden,308,35.649351,0.689858,0.331330,0.197803,0.654614,0.467011,2.062122
2026-04-23 09:14:22,coarse,10,20.0,Louvain,306,35.882353,0.687502,0.327687,0.193227,0.651084,0.463615,2.057246
2026-04-23 09:14:28,coarse,10,30.0,Leiden,397,27.657431,0.706738,0.363752,0.205047,0.629817,0.479941,6.168797
2026-04-23 09:14:28,coarse,10,30.0,Louvain,391,28.081841,0.703683,0.358652,0.202996,0.626763,0.476779,6.162730
2026-04-23 09:14:35,coarse,10,50.0,Leiden,550,19.963636,0.727809,0.411749,0.208954,0.590637,0.495223,6.122431
2026-04-23 09:14:35,coarse,10,50.0,Louvain,549,20.000000,0.726518,0.407195,0.205863,0.586990,0.492504,6.122415
2026-04-23 09:14:42,coarse,10,80.0,Leiden,749,14.659546,0.746938,0.463752,0.213239,0.548789,0.510376,6.250201
2026-04-23 09:14:42,coarse,10,80.0,Louvain,749,14.659546,0.745562,0.459745,0.211860,0.546281,0.508360,6.251073
2026-04-23 09:14:48,coarse,10,100.0,Leiden,867,12.664360,0.755803,0.487341,0.213175,0.526250,0.516367,5.472241
2026-04-23 09:14:48,coarse,10,100.0,Louvain,855,12.842105,0.753586,0.483333,0.212349,0.525698,0.514376,5.694787
2026-04-23 09:14:54,coarse,15,1.0,Leiden,29,378.620690,0.468403,0.105009,0.037399,0.758666,0.295449,5.635468
2026-04-23 09:14:54,coarse,15,1.0,Louvain,28,392.142857,0.462485,0.103461,0.035216,0.751451,0.291396,5.821506
2026-04-23 09:15:00,coarse,15,5.0,Leiden,100,109.800000,0.596822,0.203005,0.108147,0.692082,0.380982,5.684392
2026-04-23 09:15:00,coarse,15,5.0,Louvain,98,112.040816,0.592173,0.199362,0.105404,0.680192,0.376382,5.872824
2026-04-23 09:15:07,coarse,15,10.0,Leiden,160,68.625000,0.640303,0.253461,0.155945,0.641994,0.417796,5.638945
2026-04-23 09:15:07,coarse,15,10.0,Louvain,162,67.777778,0.638845,0.254372,0.152297,0.635607,0.415662,5.839090
2026-04-23 09:15:13,coarse,15,20.0,Leiden,270,40.666667,0.679893,0.311749,0.198419,0.587280,0.452561,5.727877
2026-04-23 09:15:13,coarse,15,20.0,Louvain,268,40.970149,0.678658,0.309381,0.195718,0.581476,0.450202,5.751297
2026-04-23 09:15:20,coarse,15,30.0,Leiden,354,31.016949,0.700546,0.348270,0.216672,0.557795,0.470653,5.933073
2026-04-23 09:15:20,coarse,15,30.0,Louvain,350,31.371429,0.696995,0.343443,0.211419,0.553470,0.466259,6.036330
2026-04-23 09:15:26,coarse,15,50.0,Leiden,503,21.829026,0.722014,0.391712,0.223389,0.515143,0.485679,5.777935
2026-04-23 09:15:26,coarse,15,50.0,Louvain,500,21.960000,0.720737,0.391894,0.220494,0.511471,0.483969,5.890978
2026-04-23 09:15:33,coarse,15,80.0,Leiden,715,15.356643,0.742697,0.442623,0.219433,0.464909,0.497924,6.043879
2026-04-23 09:15:33,coarse,15,80.0,Louvain,710,15.464789,0.741728,0.441075,0.218730,0.463850,0.496910,6.053822
2026-04-23 09:15:39,coarse,15,100.0,Leiden,844,13.009479,0.751829,0.472769,0.217573,0.438287,0.504386,6.133679
2026-04-23 09:15:39,coarse,15,100.0,Louvain,854,12.857143,0.751646,0.472860,0.218101,0.436718,0.504332,6.259238
2026-04-23 09:15:46,coarse,20,1.0,Leiden,23,477.391304,0.447951,0.087523,0.034880,0.737672,0.280916,5.901013
2026-04-23 09:15:46,coarse,20,1.0,Louvain,25,439.200000,0.449749,0.096539,0.030614,0.726587,0.281051,6.209841
2026-04-23 09:15:53,coarse,20,5.0,Leiden,85,129.176471,0.583296,0.189162,0.102846,0.656624,0.367667,6.259247
2026-04-23 09:15:53,coarse,20,5.0,Louvain,85,129.176471,0.578567,0.185519,0.099949,0.648354,0.363351,6.821968
2026-04-23 09:16:00,coarse,20,10.0,Leiden,146,75.205479,0.629859,0.240801,0.147215,0.602780,0.404547,6.332003
2026-04-23 09:16:00,coarse,20,10.0,Louvain,147,74.693878,0.631098,0.244444,0.152610,0.594156,0.406527,6.593442
2026-04-23 09:16:07,coarse,20,20.0,Leiden,238,46.134454,0.670580,0.294262,0.190965,0.547085,0.439083,6.048409
2026-04-23 09:16:07,coarse,20,20.0,Louvain,233,47.124464,0.669433,0.297541,0.191534,0.540874,0.438829,6.266408
