timestamp,phase,k_neighbors,resolution,algorithm,n_clusters,avg_cluster_size,nmi,accuracy,purity,ari,modularity,composite_score,elapsed_sec
2026-05-10 01:19:02,coarse,30,5.0,Leiden,316,34.746835,0.735634,0.363206,0.402186,0.211620,0.703985,0.435890,2.414902
2026-05-10 01:19:02,coarse,30,5.0,Louvain,296,37.094595,0.731413,0.359927,0.393898,0.206908,0.700738,0.431709,2.674119
2026-05-10 01:19:05,coarse,30,10.0,Leiden,409,26.845966,0.757304,0.396903,0.456375,0.262897,0.673350,0.468652,2.541085
2026-05-10 01:19:05,coarse,30,10.0,Louvain,391,28.081841,0.753534,0.393807,0.447177,0.256865,0.671599,0.464438,2.588174
2026-05-10 01:19:08,coarse,30,20.0,Leiden,523,20.994264,0.773661,0.418670,0.502095,0.284885,0.637927,0.488906,2.529421
2026-05-10 01:19:08,coarse,30,20.0,Louvain,495,22.181818,0.769098,0.410109,0.491530,0.275645,0.636110,0.481179,2.494442
2026-05-10 01:19:11,coarse,30,40.0,Leiden,651,16.866359,0.784090,0.426321,0.542532,0.288718,0.591346,0.497106,2.473600
2026-05-10 01:19:11,coarse,30,40.0,Louvain,640,17.156250,0.782812,0.424499,0.539891,0.290185,0.585090,0.495583,2.588505
2026-05-10 01:19:14,coarse,30,80.0,Leiden,883,12.434881,0.792997,0.406466,0.589982,0.272056,0.497984,0.486538,2.662539
2026-05-10 01:19:14,coarse,30,80.0,Louvain,871,12.606200,0.792416,0.408379,0.588616,0.273562,0.496657,0.487401,2.707968
2026-05-10 01:19:17,fine,23,28.0,Leiden,629,17.456280,0.780793,0.423770,0.532878,0.283584,0.690363,0.498387,2.290177
2026-05-10 01:19:17,fine,23,28.0,Louvain,612,17.941176,0.778282,0.417122,0.526685,0.282109,0.685220,0.493463,2.342302
2026-05-10 01:19:19,fine,23,34.0,Leiden,662,16.586103,0.783085,0.425956,0.544353,0.288532,0.680134,0.501317,2.449398
2026-05-10 01:19:19,fine,23,34.0,Louvain,644,17.049689,0.781066,0.421311,0.538434,0.283225,0.673712,0.496882,2.471711
2026-05-10 01:19:22,fine,23,46.0,Leiden,734,14.959128,0.786378,0.419581,0.561566,0.279719,0.657533,0.498057,2.383492
2026-05-10 01:19:22,fine,23,46.0,Louvain,716,15.335196,0.785969,0.420219,0.557286,0.282262,0.652236,0.497983,2.385906
2026-05-10 01:19:24,fine,23,52.0,Leiden,769,14.278283,0.789469,0.419217,0.571767,0.281899,0.645777,0.499253,2.390509
2026-05-10 01:19:24,fine,23,52.0,Louvain,755,14.543046,0.788650,0.418761,0.568215,0.283659,0.639922,0.498477,2.502047
2026-05-10 01:19:27,fine,24,28.0,Leiden,622,17.652733,0.780036,0.421220,0.530419,0.283543,0.678541,0.496118,2.469502
2026-05-10 01:19:27,fine,24,28.0,Louvain,600,18.300000,0.778653,0.420492,0.524681,0.285238,0.674181,0.494939,2.529759
2026-05-10 01:19:30,fine,24,34.0,Leiden,655,16.763359,0.782881,0.424772,0.543989,0.287654,0.668444,0.499931,2.668398
2026-05-10 01:19:30,fine,24,34.0,Louvain,636,17.264151,0.781255,0.418944,0.536157,0.286899,0.663706,0.495559,2.640584
2026-05-10 01:19:33,fine,24,46.0,Leiden,727,15.103164,0.785911,0.418944,0.558652,0.278882,0.644590,0.496581,2.389311
2026-05-10 01:19:33,fine,24,46.0,Louvain,707,15.530410,0.785369,0.420856,0.556740,0.283041,0.640292,0.497647,2.374489
2026-05-10 01:19:36,fine,24,52.0,Leiden,765,14.352941,0.789386,0.418488,0.569854,0.281357,0.632437,0.497932,2.366568
2026-05-10 01:19:36,fine,24,52.0,Louvain,741,14.817814,0.787416,0.415756,0.561658,0.278241,0.629717,0.494749,2.341814
2026-05-10 01:19:38,fine,26,28.0,Leiden,607,18.088962,0.779107,0.422040,0.525774,0.282219,0.659013,0.494702,2.293282
2026-05-10 01:19:38,fine,26,28.0,Louvain,583,18.833619,0.777014,0.420036,0.517942,0.281470,0.653976,0.492134,2.309369
2026-05-10 01:19:41,fine,26,34.0,Leiden,650,16.892308,0.782103,0.424044,0.539982,0.284440,0.642936,0.497253,2.512721
2026-05-10 01:19:41,fine,26,34.0,Louvain,625,17.568000,0.780720,0.420492,0.533515,0.285551,0.638583,0.494503,2.537767
2026-05-10 01:19:43,fine,26,46.0,Leiden,717,15.313808,0.786985,0.423406,0.559381,0.286576,0.620874,0.499068,2.376493
2026-05-10 01:19:43,fine,26,46.0,Louvain,700,15.685714,0.786519,0.422951,0.556193,0.287383,0.615594,0.498286,2.316948
2026-05-10 01:19:46,fine,26,52.0,Leiden,742,14.797844,0.788189,0.423042,0.564754,0.287006,0.610818,0.499226,2.503912
2026-05-10 01:19:46,fine,26,52.0,Louvain,734,14.959128,0.788490,0.419581,0.563297,0.285949,0.604609,0.496941,2.337067
2026-05-10 01:19:49,fine,27,28.0,Leiden,597,18.391960,0.779716,0.423588,0.524317,0.287385,0.647555,0.495655,2.608393
2026-05-10 01:19:49,fine,27,28.0,Louvain,577,19.029463,0.777716,0.421038,0.518488,0.286461,0.643261,0.493043,2.653659
2026-05-10 01:19:52,fine,27,34.0,Leiden,644,17.049689,0.783708,0.424863,0.541075,0.287942,0.633542,0.498149,2.385613
2026-05-10 01:19:52,fine,27,34.0,Louvain,620,17.709677,0.781033,0.422040,0.532332,0.288754,0.630165,0.495281,2.371168
2026-05-10 01:19:54,fine,27,46.0,Leiden,712,15.421348,0.787855,0.425228,0.559927,0.290497,0.607136,0.500109,2.439903
2026-05-10 01:19:54,fine,27,46.0,Louvain,695,15.798561,0.786686,0.426047,0.554645,0.292364,0.604357,0.499898,2.479415
2026-05-10 01:19:57,fine,27,52.0,Leiden,734,14.959128,0.789411,0.425683,0.567031,0.289531,0.600281,0.500871,2.518600
2026-05-10 01:19:57,fine,27,52.0,Louvain,722,15.207756,0.787376,0.422222,0.560109,0.289766,0.593545,0.497739,2.508312
