timestamp,phase,k_neighbors,resolution,algorithm,n_clusters,avg_cluster_size,nmi,accuracy,purity,ari,modularity,composite_score,elapsed_sec
2026-05-10 10:39:31,fine,9,28.0,Leiden,1107,9.918699,0.775582,0.361020,0.573679,0.209534,0.861110,0.467480,1.868675
2026-05-10 10:39:31,fine,9,28.0,Louvain,1082,10.147874,0.773872,0.357377,0.565756,0.207778,0.859710,0.464191,1.828252
2026-05-10 10:39:33,fine,9,34.0,Leiden,1148,9.564460,0.776778,0.357650,0.578233,0.206871,0.855120,0.465791,1.968580
2026-05-10 10:39:33,fine,9,34.0,Louvain,1135,9.674009,0.777049,0.357832,0.577413,0.211377,0.853089,0.466428,1.947134
2026-05-10 10:39:35,fine,9,46.0,Leiden,1218,9.014778,0.782177,0.355738,0.598725,0.207938,0.843134,0.467524,1.917262
2026-05-10 10:39:35,fine,9,46.0,Louvain,1205,9.112033,0.781201,0.353734,0.595902,0.206109,0.840503,0.465639,1.888194
2026-05-10 10:39:37,fine,9,52.0,Leiden,1248,8.798077,0.783493,0.352550,0.603370,0.205006,0.839294,0.466026,1.934572
2026-05-10 10:39:37,fine,9,52.0,Louvain,1231,8.919578,0.782127,0.348998,0.598634,0.203425,0.837018,0.463152,1.883621
2026-05-10 10:39:39,fine,11,28.0,Leiden,910,12.065934,0.770958,0.373497,0.548087,0.222185,0.817768,0.469965,1.934932
2026-05-10 10:39:39,fine,11,28.0,Louvain,899,12.213571,0.769362,0.372040,0.543898,0.221692,0.814186,0.468245,1.908284
2026-05-10 10:39:41,fine,11,34.0,Leiden,965,11.378238,0.774069,0.371585,0.562842,0.221319,0.808682,0.470522,1.913407
2026-05-10 10:39:41,fine,11,34.0,Louvain,938,11.705757,0.771364,0.366758,0.553552,0.219827,0.807197,0.466341,1.876622
2026-05-10 10:39:43,fine,11,46.0,Leiden,1025,10.712195,0.777091,0.365027,0.572404,0.217227,0.796907,0.467602,2.009693
2026-05-10 10:39:43,fine,11,46.0,Louvain,1015,10.817734,0.776686,0.363388,0.569945,0.217800,0.792731,0.466332,1.976954
2026-05-10 10:39:45,fine,11,52.0,Leiden,1063,10.329257,0.779710,0.364572,0.581967,0.218157,0.790204,0.468658,2.019364
2026-05-10 10:39:45,fine,11,52.0,Louvain,1038,10.578035,0.778059,0.363752,0.575501,0.217505,0.786837,0.467006,1.838110
2026-05-10 10:39:47,fine,12,28.0,Leiden,841,13.055886,0.768144,0.372040,0.534244,0.222954,0.800718,0.466552,1.963316
2026-05-10 10:39:47,fine,12,28.0,Louvain,817,13.439412,0.764965,0.370674,0.528871,0.218480,0.797491,0.463864,1.942348
2026-05-10 10:39:50,fine,12,34.0,Leiden,889,12.350956,0.770664,0.370401,0.547450,0.220937,0.790515,0.466744,2.035567
2026-05-10 10:39:50,fine,12,34.0,Louvain,863,12.723059,0.768784,0.367942,0.541530,0.221828,0.786658,0.464488,2.020676
2026-05-10 10:39:52,fine,12,46.0,Leiden,967,11.354705,0.776827,0.367942,0.568215,0.222381,0.775270,0.468278,1.919177
2026-05-10 10:39:52,fine,12,46.0,Louvain,944,11.631356,0.774928,0.367486,0.561020,0.223753,0.772271,0.467007,1.910430
2026-05-10 10:39:54,fine,12,52.0,Leiden,993,11.057402,0.777438,0.367031,0.571767,0.219321,0.768490,0.467503,1.991858
2026-05-10 10:39:54,fine,12,52.0,Louvain,978,11.226994,0.776300,0.364572,0.566667,0.219482,0.765141,0.465392,1.942520
